REGION;N°CIRC;CIRCONSCRIPTION;NB BV;INSCRITS;VOTANTS;BULLETINS NULS;BULLETINS BLANCS;GRP. POL.;NOM CAND;SCORE;%;RESULTAT;Annee
GUEMON;088;BAGOHOUO, GBAPLEU ET GUEZON, COMMUNES ET SOUS- PREFECTURES;;;;;;PDCI-RDA;GUI-DIBO DESIRE MAGLOIRE GNOMBLEHI;1 183;10,17%;;2025
GUEMON;088;BAGOHOUO, GBAPLEU ET GUEZON, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;DOUMBIA IBRAHIMA;8 300;71,34%;ELU;2025
GUEMON;088;BAGOHOUO, GBAPLEU ET GUEZON, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;KONE BAKARY;1 490;12,81%;;2025
GUEMON;088;BAGOHOUO, GBAPLEU ET GUEZON, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;MOUHON BOZON ELVIS DESTY;214;1,84%;;2025
GUEMON;088;BAGOHOUO, GBAPLEU ET GUEZON, COMMUNES ET SOUS- PREFECTURES;;;;;;CODE;YOMI KAPEU;64;0,55%;;2025
GUEMON;089;DUEKOUE, COMMUNE;135;51 242;12507;218;127;INDEPENDANT;TAE AUBIN;45;0,37%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;MGC;KAHAN ANGELINE;122;0,99%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;INDEPENDANT;GNONBLESSON PIERRE QUINTUS;23;0,19%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;PDCI-RDA;SOMDA FOVIN GEORGETTE EPOUSE GIELEN;3 404;27,70%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;INDEPENDANT;GNAHE GOUSSE FRANCK;135;1,10%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;INDEPENDANT;TEHE FLORE BENEDICTE;50;0,41%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;INDEPENDANT;TOURE YACOUBA;654;5,32%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;ADCI;GNENE BASILE;226;1,84%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;AIRD;KAHE KPLOHOUROU ERIC VICTOR;566;4,61%;;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;RHDP;TOURE FLANIZARA;5 608;45,63%;ELU;2025
GUEMON;089;DUEKOUE, COMMUNE;;;;;;FPI;TEHY MONSETEMON BASILE;1 329;10,81%;;2025
GUEMON;090;DUEKOUE, SOUS-PREFECTURE ET GUEHIEBLY, COMMUNES ET SOUS-PREFECTURE;48;15 092;6652;180;117;PDCI-RDA;THE JASMIN ROGER;832;12,86%;;2025
GUEMON;090;DUEKOUE, SOUS-PREFECTURE ET GUEHIEBLY, COMMUNES ET SOUS-PREFECTURE;;;;;;RHDP;OULLA GUELADET EPHREM PRIVAT;2 709;41,86%;;2025
GUEMON;090;DUEKOUE, SOUS-PREFECTURE ET GUEHIEBLY, COMMUNES ET SOUS-PREFECTURE;;;;;;INDEPENDANT;GNONKA ANGES;2 814;43,48%;ELU;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;86;25 531;8572;189;111;INDEPENDANT;TIE FELICIEN SERGE-ALAIN;223;2,66%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;BLEKAHI PHILIPPE;518;6,18%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;ADCI;KINDRAUD MIANTE ALIDA VERONIQUE;347;4,14%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;MEAMBLY TIE EVARISTE EDOUARD;2 551;30,43%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;TROH KELASSON ADELPHE;817;9,75%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;TIEPOHO DOHANEMON ALAIN;408;4,87%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;SEHI GUEHI PATRICK;375;4,47%;;2025
GUEMON;091;FACOBLY, GUEZON, KOUA, SEMIEN ET TIENY-SEABLY, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;SEA JEAN HONORE;3 033;36,18%;ELU;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;94;30 990;10715;550;117;PPSD;TIEHI EMMANUEL;492;4,84%;;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;EDS;YOUTE WONSEBEO INNOCENT;1 977;19,45%;;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;MGC;KPEYA MONHESSEA;380;3,74%;;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;WOMBLEGNON EPSE LEMMENS JULIE;1 402;13,79%;;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;BEAT-SEKI SEANDJE ANGE;1 488;14,64%;;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;ACI;BAH FERDINAND;193;1,90%;;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;TAHOU  THIERRY;3 858;37,95%;ELU;2025
GUEMON;092;KOUIBLY, NIDROU, OUYABLY-GNONDROU ET TOTRODROU, COMMUNES ET SOUS-PREFECTURES;;;;;;GP-PAIX;GBE GNIONTY ANGELESSE JACQUELIN;258;2,54%;;2025
HAMBOL;093;BASSAWA, SATAMA-SOKORO ET SATAMA-SOKOURA, COMMUNES ET SOUS-PREFECTURES;73;19 028;10798;187;123;INDEPENDANT;KARIDIOULA SOULEYMANE;3 946;37,19%;;2025
HAMBOL;093;BASSAWA, SATAMA-SOKORO ET SATAMA-SOKOURA, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;FOFANA BASSATIGUI;6 542;61,65%;ELU;2025
HAMBOL;094;DABAKALA, SOKALA-SOBARA, TENDENE-BAMBARASSO ET YAOSSEDOUGOU, COMMUNES ET SOUS-PREFECTURES;108;28 370;16909;253;174;INDEPENDANT;COULIBALY ABOUBAKARY;3 373;20,25%;;2025
HAMBOL;094;DABAKALA, SOKALA-SOBARA, TENDENE-BAMBARASSO ET YAOSSEDOUGOU, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;COULIBALY DROUGNAN MOHAMED;311;1,87%;;2025
HAMBOL;094;DABAKALA, SOKALA-SOBARA, TENDENE-BAMBARASSO ET YAOSSEDOUGOU, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;KONATE IBRAHIM KALIL;12 798;76,84%;ELU;2025
HAMBOL;095;BONIEREDOUGOU ET FOUMBOLO, COMMUNES ET SOUS- PREFECTURES;82;22 014;11652;295;175;ADCI;KARIDIOULA NIEHINAPARAN;555;4,89%;;2025
HAMBOL;095;BONIEREDOUGOU ET FOUMBOLO, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;OUATTARA DOKOLIO GERARD;2 475;21,79%;;2025
HAMBOL;095;BONIEREDOUGOU ET FOUMBOLO, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;COULIBALY AMADOU TIDIANE;7 762;68,35%;ELU;2025
HAMBOL;095;BONIEREDOUGOU ET FOUMBOLO, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;COULIBALY SOULEYMANE;390;3,43%;;2025
HAMBOL;096;FRONAN, KATIOLA ET TIMBE, COMMUNES ET SOUS- PREFECTURES;128;45 033;17667;396;271;INDEPENDANT;TRAORE KARIME;5 146;29,80%;;2025
HAMBOL;096;FRONAN, KATIOLA ET TIMBE, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;CAMARA POGABAHA THOMAS;11 788;68,25%;ELU;2025
HAMBOL;096;FRONAN, KATIOLA ET TIMBE, COMMUNES ET SOUS- PREFECTURES;;;;;;AIDE;PARE KATITCHO BINTOU CATHERINE;66;0,38%;;2025
HAMBOL;097;ARIKOKAHA, NIAKARAMANDOUGOU ET TORTIYA, COMMUNES ET SOUS-PREFECTURES;81;27 757;12576;103;160;INDEPENDANT;TRAORE KARIDIA;2 808;22,51%;;2025
HAMBOL;097;ARIKOKAHA, NIAKARAMANDOUGOU ET TORTIYA, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;KONE CATHERINE;8 915;71,47%;ELU;2025
HAMBOL;097;ARIKOKAHA, NIAKARAMANDOUGOU ET TORTIYA, COMMUNES ET SOUS-PREFECTURES;;;;;;PDCI-RDA;TOURE ISSOUF;590;4,73%;;2025
HAMBOL;098;"BADIKAHA, NIEDEKAHA ET TAFIRE, COMMUNES ET SOUS-
PREFECTURES";74;23 601;23389;44;16;RHDP;KONE TIEMOKO MEYLIET;23 329;99,93%;ELU;2025
HAUT- SASSANDRA;099;BEDIALA, GADOUAN ET GONATE, COMMUNES ET SOUS- PREFECTURES;147;41 499;12590;457;146;INDEPENDANT;ALLIANCE POUR LA DEMOCRATIE ET LE DEVELOPPEMENT;3 602;29,69%;;2025
HAUT- SASSANDRA;099;BEDIALA, GADOUAN ET GONATE, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE;5 873;48,41%;ELU;2025
HAUT- SASSANDRA;099;BEDIALA, GADOUAN ET GONATE, COMMUNES ET SOUS- PREFECTURES;;;;;;PDCI-RDA;TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE;2 512;20,70%;;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;358;129 515;27394;401;265;INDEPENDANT;PRO COTE D'IVOIRE POUR UN PARLEMENT DEFENSEUR DES POPULATIONS;412;1,53%;;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;ENSEMBLE REALISONS;1 035;3,83%;;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;LESPOIR POLITIQUE DE DALOA;990;3,67%;;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;EGALITE POUR LEQUILIBRE SOCIO-ECONOMIQUE;987;3,66%;;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;;;;;;RHDP;"UNE COTE D""IVOIRE EN PAIX,PROSPERE ET SOLIDAIRE";21 340;79,06%;ELU;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;POUR NOUS CEST DALOA;1 844;6,83%;;2025
HAUT- SASSANDRA;100;DALOA, VILLE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;JEUNESSE UNIE DE DALOA;120;0,44%;;2025
HAUT- SASSANDRA;101;GBOGUHE ET ZAHIBO, COMMUNES ET SOUS- PREFECTURES;103;24 051;10915;256;122;INDEPENDANT;DIGBEU TOH LAMBERT;366;3,43%;;2025
HAUT- SASSANDRA;101;GBOGUHE ET ZAHIBO, COMMUNES ET SOUS- PREFECTURES;;;;;;ADCI;TETIALY TETIALY ADOLPHE;34;0,32%;;2025
HAUT- SASSANDRA;101;GBOGUHE ET ZAHIBO, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;OUATTARA BAKARY;3 511;32,94%;;2025
HAUT- SASSANDRA;101;GBOGUHE ET ZAHIBO, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;KIPRE STEPHANE AYMAR AUGUSTIN;5 907;55,42%;ELU;2025
HAUT- SASSANDRA;101;GBOGUHE ET ZAHIBO, COMMUNES ET SOUS- PREFECTURES;;;;;;MGC;BIAHI FLORA ESTELLE DESIREE;21;0,20%;;2025
HAUT- SASSANDRA;101;GBOGUHE ET ZAHIBO, COMMUNES ET SOUS- PREFECTURES;;;;;;PDCI-RDA;LIKANE-YAGUI JEAN;698;6,55%;;2025
HAUT- SASSANDRA;102;BOGUEDIA, ISSIA ET TAPEGUIA, COMMUNES ET SOUS- PREFECTURES;166;52 889;13588;447;130;INDEPENDANT;UNION DES JEUNES POUR LE DEVELOPPEMENT;264;2,01%;;2025
HAUT- SASSANDRA;102;BOGUEDIA, ISSIA ET TAPEGUIA, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;UNE COTE DIVOIRE EN PAIX,PROSPERE ET SOLIDAIRE;5 651;43,00%;ELU;2025
HAUT- SASSANDRA;102;BOGUEDIA, ISSIA ET TAPEGUIA, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;EPI (ENSSEMBLE POUR ISSIA);2 451;18,65%;;2025
HAUT- SASSANDRA;102;BOGUEDIA, ISSIA ET TAPEGUIA, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;ENSEMBLE POUR LA CAUSE D'ISSIA;954;7,26%;;2025
HAUT- SASSANDRA;102;BOGUEDIA, ISSIA ET TAPEGUIA, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;TOUS UNIS POUR ISSIA;3 691;28,09%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;68;19 888;6218;156;76;INDEPENDANT;GOKOU YODE PATRICK;1 793;29,58%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;SERY GBOGUHE RICHARD;308;5,08%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;LAGO DONWAHI CHARLES;133;2,19%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;MNRP;LOUOBA MICHAEL;727;11,99%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;TRAORE DOTEME;1 950;32,17%;ELU;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;PALLE PALLE ISIDORE;91;1,50%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;GP-PAIX;KOUAKOU KOFFI;44;0,73%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;YOBOUET KOUAKOU DIEUDONNE;49;0,81%;;2025
HAUT- SASSANDRA;103;IBOGUHE ET NAMANE, COMMUNES ET SOUS- PREFECTURES;;;;;;PDCI-RDA;DIBAHI DODO AMEDEE;891;14,70%;;2025
HAUT- SASSANDRA;104;NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES;109;33 075;13469;280;162;CODE;SERI LANDRY;342;2,59%;;2025
HAUT- SASSANDRA;104;NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;SOKORA SOKORA ARMAND;216;1,64%;;2025
HAUT- SASSANDRA;104;NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;LOKPO BRAHIMA;9 209;69,82%;ELU;2025
HAUT- SASSANDRA;104;NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;YOKOZO MARINA ANGELE;76;0,58%;;2025
HAUT- SASSANDRA;104;NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES;;;;;;MGC;MADI BOUABRE;258;1,96%;;2025
HAUT- SASSANDRA;104;NAHIO ET SAIOUA, COMMUNES ET SOUS-PREFECTURES;;;;;;PDCI-RDA;DJEDJE MADY ALPHONSE;2 926;22,19%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;139;40 972;12481;430;428;INDEPENDANT;VAVOUA ENSEMBLE C'EST POSSIBLE;2 990;24,81%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;ENSEMBLE POUR LE DEVELOPPEMENT;205;1,70%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;RHDP;UNE COTE DIVOIRE EN PAIX, PROSPERE ET SOLIDAIRE;4 576;37,97%;ELU;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;LE CHANGEMENT C'EST MAINTENANT;324;2,69%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;VAVOUA, JEUNESSE DEBOUT;297;2,46%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;ENSEMBLE POUR LA RELEVE;58;0,48%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;VAVOUA LE CHANGEMENT C'EST MAINTENANT;115;0,95%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;UN NOUVEAU DEPART;65;0,54%;;2025
HAUT- SASSANDRA;105;BAZRA NATILS, DANANON, KETRO·BASSAM ET VAVOUA, COMMUNES ET SOUS·PREFECTURES;;;;;;PDCI-RDA;TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE;2 993;24,84%;;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;46;12 480;5299;154;107;INDEPENDANT;KOUAME KOUADIO ANDERSON;1 090;21,19%;;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;N'GUESSAN KOUAKOU SALOMON;59;1,15%;;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;SERY SOKO;310;6,03%;;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;;;;;;RHDP;VEDEA BLIKAN ELISABETH;2 374;46,14%;ELU;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;GBEDEGNE NADJE HUGUES;173;3,36%;;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;BERTE NADO AMARA;57;1,11%;;2025
HAUT- SASSANDRA;106;DANIA, COMMUNE ET SOUS-PREFECTURE;;;;;;PDCI-RDA;TAPE TOUAPLI;975;18,95%;;2025
HAUT- SASSANDRA;107;SEITIFLA, COMMUNE ET SOUS-PREFECTURE;42;11 109;5174;183;88;RHDP;TRA BI SUI GUILLAUME;3 312;66,36%;ELU;2025
HAUT- SASSANDRA;107;SEITIFLA, COMMUNE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;OUIGNAN MARTIN;1 416;28,37%;;2025
HAUT- SASSANDRA;107;SEITIFLA, COMMUNE ET SOUS-PREFECTURE;;;;;;INDEPENDANT;KOUASSI BROU GAUTHIER;175;3,51%;;2025
HAUT- SASSANDRA;108;DOMANGBEU, GREGBEU, GUESSABO ET ZOUKOUGBEU, COMMUNES ET SOUS·PREFECTURES;92;24 325;8062;171;85;FPP;BAMBA KALIFA;37;0,47%;;2025
HAUT- SASSANDRA;108;DOMANGBEU, GREGBEU, GUESSABO ET ZOUKOUGBEU, COMMUNES ET SOUS·PREFECTURES;;;;;;RHDP;DOH DIBAHI MARCELLIN;4 276;54,19%;ELU;2025
HAUT- SASSANDRA;108;DOMANGBEU, GREGBEU, GUESSABO ET ZOUKOUGBEU, COMMUNES ET SOUS·PREFECTURES;;;;;;INDEPENDANT;TETEA ZAMOSSE LEONARD;357;4,52%;;2025
HAUT- SASSANDRA;108;DOMANGBEU, GREGBEU, GUESSABO ET ZOUKOUGBEU, COMMUNES ET SOUS·PREFECTURES;;;;;;PDCI-RDA;GOZE SEPLE BERNARD;3 136;39,74%;;2025
IFFOU;109;AKPASSANOU, ANANDA ET OUELLE COMMUNES ET SOUS- PREFECTURES;70;19 944;7665;237;54;INDEPENDANT;KOUASSI KOUADIO FRANCOIS;48;0,65%;;2025
IFFOU;109;AKPASSANOU, ANANDA ET OUELLE COMMUNES ET SOUS- PREFECTURES;;;;;;GP-PAIX;KONAN KOUAKOU;98;1,32%;;2025
IFFOU;109;AKPASSANOU, ANANDA ET OUELLE COMMUNES ET SOUS- PREFECTURES;;;;;;PDCI-RDA;YAO N'GUESSAN JUSTIN INNOCENT;4 346;58,51%;ELU;2025
IFFOU;109;AKPASSANOU, ANANDA ET OUELLE COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;KOUAKOU KOUADIO JEAN-ARSENE;709;9,54%;;2025
IFFOU;109;AKPASSANOU, ANANDA ET OUELLE COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;KOUAKOU KOUASSI HUBERT;2 173;29,25%;;2025
IFFOU;110;DAOUKRO ET N'GATTAKRO, COMMUNES ET SOUS- PREFECTURES;111;37 825;10860;436;72;INDEPENDANT;AKOTO KOUASSI OLIVIER;2 411;23,13%;;2025
IFFOU;110;DAOUKRO ET N'GATTAKRO, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;KOUAKOU KOUADIO GERMAIN;939;9,01%;;2025
IFFOU;110;DAOUKRO ET N'GATTAKRO, COMMUNES ET SOUS- PREFECTURES;;;;;;PDCI-RDA;KOUASSI TEOPHILE;5 907;56,67%;ELU;2025
IFFOU;110;DAOUKRO ET N'GATTAKRO, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;TRAORE ABOU;658;6,31%;;2025
IFFOU;110;DAOUKRO ET N'GATTAKRO, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;KOUAME KOUASSI BENSON;437;4,19%;;2025
IFFOU;111;ETTROKRO ET SAMANZA, COMMUNES ET SOUS- PREFECTURES;44;11 430;5639;315;53;PDCI-RDA;N'DOUFOU KOUASSI RICHARD;1 753;32,93%;ELU;2025
IFFOU;111;ETTROKRO ET SAMANZA, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;KOUA MORO JEAN-BAPTISTE;765;14,37%;;2025
IFFOU;111;ETTROKRO ET SAMANZA, COMMUNES ET SOUS- PREFECTURES;;;;;;INDEPENDANT;EKRA KOFFI JEAN-JACQUES;1 590;29,86%;;2025
IFFOU;111;ETTROKRO ET SAMANZA, COMMUNES ET SOUS- PREFECTURES;;;;;;RHDP;KOFFI KONIEN MOISE;1 163;21,84%;;2025
IFFOU;112;BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES;118;31 073;14797;640;198;INDEPENDANT;KOUAKOU ATCHELAUD FAUSTO LEWIS;2 500;17,66%;;2025
IFFOU;112;BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;TRAORE AHMED PARFAIT;4 697;33,18%;ELU;2025
IFFOU;112;BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES;;;;;;PDCI-RDA;KOUAME TIALY HONORE;2 516;17,77%;;2025
IFFOU;112;BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;KOUAME KOUADIO JEAN JACQUES;168;1,19%;;2025
IFFOU;112;BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES;;;;;;INDEPENDANT;KOUAKOU KOUADIO;3 004;21,22%;;2025
IFFOU;112;BONGUERA, KONDOSSOU ET M'BAHIAKRO, COMMUNES ET SOUS-PREFECTURES;;;;;;RHDP;OUATTARA BAKARY;1 074;7,59%;;2025
IFFOU;113;ANIANOU, FAMIENKRO, KOFFI-AMONKRO, NAFANA ET PRIKRO, COMMUNESETSOU~PREFECTURES;105;30 711;15501;406;225;PDCI-RDA;ADI KOUAME ISAC;6 704;44,41%;;2025
IFFOU;113;ANIANOU, FAMIENKRO, KOFFI-AMONKRO, NAFANA ET PRIKRO, COMMUNESETSOU~PREFECTURES;;;;;;INDEPENDANT;DRAMANE KOUAKOU AMADOU;278;1,84%;;2025
IFFOU;113;ANIANOU, FAMIENKRO, KOFFI-AMONKRO, NAFANA ET PRIKRO, COMMUNESETSOU~PREFECTURES;;;;;;RHDP;KOUASSI KOUASSI JEAN CLAUDE;7 888;52,26%;ELU;2025
INDENIE-DJUABLIN;114;ABENGOUROU, COMMUNE;128;48 575;11873;206;48;INDEPENDANT;KONE MOUSSA;1 039;8,91%;;2025
INDENIE-DJUABLIN;114;ABENGOUROU, COMMUNE;;;;;;INDEPENDANT;NINTANE MAMADOU;1 006;8,62%;;2025
INDENIE-DJUABLIN;114;ABENGOUROU, COMMUNE;;;;;;RHDP;BAH ABDOULAYE;5 872;50,33%;ELU;2025
INDENIE-DJUABLIN;114;ABENGOUROU, COMMUNE;;;;;;INDEPENDANT;FOFANA ABDOUL KARIM;76;0,65%;;2025
INDENIE-DJUABLIN;114;ABENGOUROU, COMMUNE;;;;;;PDCI-RDA;BREDOU BREDOU ATHANASE;3 626;31,08%;;2025
INDENIE-DJUABLIN;115;ABENGOUROU, SOUS-PREFECTURE, AMELEKIA, ANIANSSUE, EBILASSOKRO, NIABLE, YAKASSE-FEYASSE ET ZARANOU, COMMUNES ET SOUS-PREFECTURES;166;51 273;22283;498;104;RHDP;UNE CÔTE DIVOIRE EN PAIX, PROSPÈRE ET SOLIDAIRE;17 921;82,26%;ELU;2025
INDENIE-DJUABLIN;115;ABENGOUROU, SOUS-PREFECTURE, AMELEKIA, ANIANSSUE, EBILASSOKRO, NIABLE, YAKASSE-FEYASSE ET ZARANOU, COMMUNES ET SOUS-PREFECTURES;;;;;;PDCI-RDA;TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE;3 760;17,26%;;2025
